player,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumble_lost,fpts,team,position,rec_att,rec_yds,rec_td
Michael Thomas,,,,,,0.0,0.0,0.0,0.7,93.6,NO,WR,55.0,645.0,1.7
Jaxon Smith-Njigba,,,,,,0.0,0.0,0.0,2.0,92.0,SEA,WR,51.8,667.6,3.9
JuJu Smith-Schuster,,,,,,0.0,0.0,0.0,1.1,82.0,NE,WR,65.0,741.0,2.5
Kadarius Toney,,,,,,7.3,48.3,0.4,1.0,75.7,KC,WR,38.0,406.0,3.1
Allen Lazard,,,,,,0.0,0.0,0.0,0.3,90.0,NYJ,WR,50.2,642.6,4.0
Nico Collins,,,,,,0.0,0.0,0.0,0.5,91.0,HOU,WR,53.0,634.6,3.8
Odell Beckham Jr.,,,,,,0.0,0.0,0.0,0.5,80.4,BAL,WR,43.6,549.8,2.7
Jakobi Meyers,,,,,,0.0,-5.0,0.0,1.1,88.0,LV,WR,56.0,692.1,2.7
Tyler Boyd,,,,,,0.0,0.0,0.0,0.4,84.3,CIN,WR,52.3,597.9,2.5
DJ Chark Jr.,,,,,,0.0,0.0,0.0,0.4,82.0,CAR,WR,38.0,666.0,3.0
Marquez Valdes-Scantling,,,,,,0.0,0.0,0.0,0.3,71.0,KC,WR,36.0,622.0,2.9
Michael Gallup,,,,,,0.0,0.0,0.0,0.4,63.0,DAL,WR,41.0,485.0,2.6
Darnell Mooney,,,,,,0.0,0.0,0.0,0.5,79.0,CHI,WR,48.6,579.9,2.5
Quentin Johnston,,,,,,0.0,0.0,0.0,2.0,90.0,LAC,WR,32.9,398.7,2.7
Romeo Doubs,,,,,,0.0,0.0,0.0,1.4,76.6,GB,WR,50.0,588.8,2.6
Zay Jones,,,,,,0.0,0.0,0.0,0.4,76.0,JAC,WR,53.2,569.1,1.6
Jonathan Mingo,,,,,,0.0,0.0,0.0,1.0,80.5,CAR,WR,44.0,590.8,2.4
DeVante Parker,,,,,,0.0,0.0,0.0,0.4,75.9,NE,WR,40.0,557.4,1.9
Skyy Moore,,,,,,3.7,21.3,0.0,5.0,82.0,KC,WR,34.7,377.8,2.0
Rondale Moore,,,,,,4.6,27.0,0.0,0.9,69.0,ARI,WR,57.8,606.1,0.2
Adam Thielen,,,,,,0.0,0.0,0.0,0.4,76.4,CAR,WR,48.0,544.8,3.5
Curtis Samuel,,,,,,17.6,102.6,0.5,1.0,68.0,WAS,WR,46.1,461.5,1.0
Van Jefferson,,,,,,0.0,0.0,0.0,0.4,65.0,LAR,WR,34.0,506.0,3.0
Elijah Moore,,,,,,4.8,23.0,0.0,0.5,55.8,CLE,WR,18.6,255.2,1.3
Mecole Hardman Jr.,,,,,,5.0,28.6,0.2,1.4,65.0,NYJ,WR,35.9,438.0,1.8
K.J. Osborn,,,,,,1.7,5.0,0.0,0.6,60.2,MIN,WR,36.8,400.9,2.9
Donovan Peoples-Jones,,,,,,0.0,0.0,0.0,1.0,70.1,CLE,WR,38.6,511.7,2.0
Jayden Reed,,,,,,0.0,0.0,0.0,2.0,66.0,GB,WR,41.0,555.3,1.9
Hunter Renfrow,,,,,,0.0,0.0,0.0,1.0,69.1,LV,WR,55.8,533.9,2.4
Rashod Bateman,,,,,,0.0,0.0,0.0,2.0,54.1,BAL,WR,19.9,263.7,1.3
Isaiah Hodgins,,,,,,0.0,0.0,0.0,1.0,39.1,NYG,WR,25.9,284.0,1.8
Jameson Williams,,,,,,0.0,0.0,0.0,1.0,61.5,DET,WR,33.2,456.5,2.0
Alec Pierce,,,,,,0.0,0.0,0.0,0.5,50.0,IND,WR,29.0,475.0,1.8
Rashid Shaheed,,,,,,0.0,0.0,0.0,0.5,67.2,NO,WR,25.5,382.7,0.9
Robert Woods,,,,,,0.0,0.0,0.0,1.0,56.0,HOU,WR,44.2,486.4,1.1
Chase Claypool,,,,,,0.0,0.0,0.0,1.0,54.0,CHI,WR,30.0,387.6,1.1
Marvin Jones Jr.,,,,,,0.0,0.0,0.0,0.2,59.4,DET,WR,31.4,388.9,1.2
Rashee Rice,,,,,,0.0,0.0,0.0,1.0,52.0,KC,WR,19.7,233.0,1.7
Mack Hollins,,,,,,0.0,0.0,0.0,0.4,62.4,ATL,WR,38.2,430.5,1.5
Marvin Mims Jr.,,,,,,0.0,0.0,0.0,2.0,38.0,DEN,WR,13.5,166.2,1.1
